file,title,url,word_count,has_tables,has_infobox,chosen_from
Gantaal THAAD.txt,Gantaal THAAD,https://so.wikipedia.org/wiki?curid=32209,184,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Kim Chanmi.txt,Kim Chanmi,https://so.wikipedia.org/wiki?curid=34330,133,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Wadaamogoo.txt,Wadaamogoo,https://so.wikipedia.org/wiki?curid=21405,100,0,0,/Users/user/data/sowiki-20250901/sowiki_txt
Dhibaato Belarus_Poland Daadka 2021.txt,Dhibaato Belarus/Poland Daadka 2021,https://so.wikipedia.org/wiki?curid=34702,54,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Buundo.txt,Buundo,https://so.wikipedia.org/wiki?curid=18600,40,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Balli Gaabandhoor.txt,Balli Gaabandhoor,https://so.wikipedia.org/wiki?curid=19938,43,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Qandala.txt,Qandala,https://so.wikipedia.org/wiki?curid=6757,391,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Radio Kulmis.txt,Radio Kulmis,https://so.wikipedia.org/wiki?curid=37246,159,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Af-Hawsa.txt,Af-Hawsa,https://so.wikipedia.org/wiki?curid=15266,270,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Gaajo-ka Daadka Afghanistan 2021.txt,Gaajo-ka Daadka Afghanistan 2021,https://so.wikipedia.org/wiki?curid=34697,96,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Baargaal.txt,Baargaal,https://so.wikipedia.org/wiki?curid=7025,121,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
SweetS.txt,SweetS,https://so.wikipedia.org/wiki?curid=33146,96,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Huluul.txt,Huluul,https://so.wikipedia.org/wiki?curid=28460,112,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Janet Gaynor.txt,Janet Gaynor,https://so.wikipedia.org/wiki?curid=32790,259,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Jufentus NK.txt,Jufentus NK,https://so.wikipedia.org/wiki?curid=9329,134,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Habariheshay.txt,Habariheshay,https://so.wikipedia.org/wiki?curid=28481,102,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Shirkad - Coastline Exploration.txt,Shirkad - Coastline Exploration,https://so.wikipedia.org/wiki?curid=38411,59,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Rani Mukerji.txt,Rani Mukerji,https://so.wikipedia.org/wiki?curid=31533,228,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Lobamba.txt,Lobamba,https://so.wikipedia.org/wiki?curid=7109,256,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Laasa Cadale.txt,Laasa Cadale,https://so.wikipedia.org/wiki?curid=4945,83,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
One Direction.txt,One Direction,https://so.wikipedia.org/wiki?curid=9254,38,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Holland America Line.txt,Holland America Line,https://so.wikipedia.org/wiki?curid=23740,100,1,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Lacagta Jabuuti.txt,Lacagta Jabuuti,https://so.wikipedia.org/wiki?curid=31605,247,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Salman Khan.txt,Salman Khan,https://so.wikipedia.org/wiki?curid=19464,114,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
